Key,Roastery,"Roastery City","Roastery Country",Name,Country,Region,Farm,Processing,"Altitude min","Altitude max","Price (EUR per kg)",Roast,Score,Variety,Profile
0,"The naughty dog","Jilove u Prahy","Czech Republic","Suke Quto",Ethiopia,"Guji, Sidamo","Suke Quto",natural,1800,2200,44,espresso,,heirloom,"jasmine, blueberry, peach, chocolate cake"
1,"The naughty dog","Jilove u Prahy","Czech Republic","Fayenda Salto",Brazil,"Carmo da Cachoeira, Sul de Minas","Fazenda Salto",natural,1230,1230,39.54,espresso,,"yellow bourbon","dark chocolate, raisins, forest fruit"
2,"The naughty dog","Jilove u Prahy","Czech Republic",Kirambo,Rwanda,Nyamasheke,Kirambo,Natural,1545,1545,44,espresso,,"red bourbon","blueberry, lemon marmelade, milk chocolate, mulled wine"
3,"The naughty dog","Jilove u Prahy","Czech Republic","Wilson Campo",Colombia,Cauco,"Wilson Campo",Washed,1700,1700,44,espresso,,"cattura, colombia, castillo","toffee, gingerbread, grapefruit"
4,"The naughty dog","Jilove u Prahy","Czech Republic","Santa Ana",Colombia,Anserma,Anserma,"Anaerobic Natural",1800,1800,52.8,filter,,castillo,"caramel, mango, blueberry, red wine"
5,"The naughty dog","Jilove u Prahy","Czech Republic","La Colombia Geisha",Colombia,"Ciudad Bolivar, Anrioquia",Vasques,"Anaerobic Honey",1400,2050,102.04,filter,,geisha,"orange blossom, peach, bergamot"
6,"The naughty dog","Jilove u Prahy","Czech Republic","Bani Al Areef",Yemen,Harazi,,"Carbonic Maceration",1700,2100,136.05,filter,,jaadi,"black tea, dried strawberries, candy floss, blood orange"
7,"The naughty dog","Jilove u Prahy","Czech Republic",Bolivar,Colombia,"Ciudad Bolivar, Anrioquia","Bolivar farmers",Natural,1700,1900,48.47,filter,,"cattura, colombia, castillo","caramel, forest fruit, rum"
8,"The naughty dog","Jilove u Prahy","Czech Republic",Ngandu,Kenya,Nyeri,"Ngandu AB - Rutuma Farmers Coop Society",Washed,1700,1800,48.47,filter,,"sl28, sl34","red currant, lime, maple syrup"
9,"The naughty dog","Jilove u Prahy","Czech Republic","Suke Quto",Ethiopia,"Guji, Sidamo","Suke Quto",Washed,1800,2200,44,filter,,heirloom,"flower, bergamot, black tea, peach ice tea"
10,"The naughty dog","Jilove u Prahy","Czech Republic","Suke Quto",Ethiopia,"Guji, Sidamo","Suke Quto",Honey,1800,2200,48.47,filter,,heirloom,"honey, candied orange, black tea, milk chocolate"
11,"19 grams",Berlin,Germany,"Iyego AB",Kenya,"Murang'a District, Central Province","Marimira Factory",Washed,1800,1800,60.90,espresso,90,"sl28, sl34","mango, vanilla, blackberry"
12,"19 grams",Berlin,Germany,"Yak Ikuk",Mexico,Oaxaca,"Yak Ikuk",Washed,1620,1620,57.90,espresso,,typica,"milk chocolate, macadamia nut, peach"
13,"19 grams",Berlin,Germany,"Hacienda Sonora L9","Costa Rica","Central Valley","Hacienda Sonora",Natural,1300,1300,53.90,espresso,88.5,l9,"caramel, red plum, milk chocolate"
14,"19 grams",Berlin,Germany,"La Granada 96h",Colombia,Huila,"Finca La Granada","96h fermented, washed",1620,1620,53.90,espresso,88,"pink bourbon","apricot, marzipan, sugarcane"
15,"19 grams",Berlin,Germany,"Orang Utan",Sumatra,"Gayo Highlands","Small farmers cooperative",Washed,1500,1500,43.90,espresso,86.5,"tim tim, ateng","caramel, apple, dark chocolate"
16,"19 grams",Berlin,Germany,"Don Martin Geisha Enano","Costa Rica",Tarrazù,"La Chumeca","777 Fermantation",2000,2000,99.50,filter,91,geisha,"strawberry, clementine, honeysuckle"
17,"19 grams",Berlin,Germany,"Las Lajas","Costa Rica","Poas, Central Valley","Las Lajas","Black Diamond Natural",1500,1500,134.50,filter,91,sl28,"passion fruit, mango, raspberry jam"
18,"19 grams",Berlin,Germany,"Los Azacuanes","El Salvador",Ataco,"Los Azacuanes","Double Fermentation Natural",1350,1350,114.50,filter,88,geisha,"raspberry, milk chocolate, macadamia nut"
19,"19 grams",Berlin,Germany,"Sonora Geisha","Costa Rica","Central Valley","Hacienda Sonora",Natural,1300,1300,114.50,filter,89,geisha,"mango, passion fruit, honey"
20,"19 grams",Berlin,Germany,"Los Tres Potros","El Salvador",Apaneca-Llamatepec,"Los Tres Potros",Natural,1500,1500,75.60,filter,89,"pacas, maragogype","pineapple, maple syrup, melon"
21,"19 grams",Berlin,Germany,"Iyego AB",Kenya,"Murang'a District, Central Province","Marimira Factory",Washed,1800,1800,71.60,filter,90,"sl28, sl34","pineapple, white peach, vanilla"
22,"19 grams",Berlin,Germany,"Yak Ikuk",Mexico,Oaxaca,"Yak Ikuk",Washed,1620,1620,67.60,filter,,typica,"peach, starfruit, jasmine"
