Roastery,Roastery City,Roastery Country,Name,Country,Region,Farm,Processing,Variety,Altitude min,Altitude max,Price (EUR per kg),Profile,Roast,Score
The naughty dog,Jilove u Prahy,Czech Republic,Suke Quto,Ethiopia,"Guji, Sidamo",Suke Quto,natural,Heirloom,1800,2200,44,"jasmine, blueberries, peaches, chocolate cake",espresso,
The naughty dog,Jilove u Prahy,Czech Republic,Fayenda Salto,Brazil,"Carmo da Cachoeira, Sul de Minas",Fazenda Salto,natural,Yellow Bourbon,1230,1230,39.54,"Dark Chocolate, Raisind, Forest Fruit",espresso,
The naughty dog,Jilove u Prahy,Czech Republic,Kirambo,Rwanda,Nyamasheke,Kirambo,Natural,Red Bourbon,1545,1545,44,"Blueberries, Lemon marmelade, Milk Chocolate, Mulled Wine",espresso,
The naughty dog,Jilove u Prahy,Czech Republic,Wilson Campo,Colombia,Cauco,Wilson Campo,Washed,"Cattura, Colombia, Castillo",1700,1700,44,"Toffee, Gingerbread, Grapefruit",espresso,
The naughty dog,Jilove u Prahy,Czech Republic,Santa Ana,Colombia,Anserma,Anserma,Anaerobic Natural,Castillo,1800,1800,52.8,"Caramel, Mango, Blueberries, Red Wine",filter,
The naughty dog,Jilove u Prahy,Czech Republic,La Colombia Geisha,Colombia,"Ciudad Bolivar, Anrioquia",Vasques,Anaerobic Honey,Geisha,1400,2050,102.04,"Orange Blossom, Peach, Bergamot",filter,
The naughty dog,Jilove u Prahy,Czech Republic,Bani Al Areef,Yemen,Harazi,,Carbonic Maceration,Jaadi,1700,2100,136.05,"Black Tea, Dried Strawberries, Candy Floss, Blood Orange",filter,
The naughty dog,Jilove u Prahy,Czech Republic,Bolivar,Colombia,"Ciudad Bolivar, Anrioquia",Bolivar farmers,Natural,"Cattura, Colombia, Castillo",1700,1900,48.47,"Caramel, Forest Fruit, Rum",filter,
The naughty dog,Jilove u Prahy,Czech Republic,Ngandu,Kenya,Nyeri,Ngandu AB - Rutuma Farmers Coop Society,Washed,"SL28, SL34",1700,1800,48.47,"Red Currant, Lime, Maple Syrup",filter,
The naughty dog,Jilove u Prahy,Czech Republic,Suke Quto,Ethiopia,"Guji, Sidamo",Suke Quto,Washed,Heirloom,1800,2200,44,"Flowers, Bergamot, Black Tea, Peach Ice Tea",filter,
The naughty dog,Jilove u Prahy,Czech Republic,Suke Quto,Ethiopia,"Guji, Sidamo",Suke Quto,Honey,Heirloom,1800,2200,48.47,"Honey, Candied Orange, Black Tea, Milk Chocolate",filter,
19 grams,Berlin,Germany,Iyego AB,Kenya,"Murang'a District, Central Province",Marimira Factory,Washed,"SL28, SL34",1800,1800,60.90,"Mango, Vanilla, Blackberry",espresso,90
19 grams,Berlin,Germany,Yak Ikuk,Mexico,Oaxaca,Yak Ikuk,Washed,Typica,1620,1620,57.90,"Milk Chocolate, Macadamia Nut, Peach",espresso,
19 grams,Berlin,Germany,Hacienda Sonora L9,Costa Rica,Central Valley,Hacienda Sonora,Natural,L9,1300,1300,53.90,"Caramell, Red Plum, Milk Chocolate",espresso,88.5
19 grams,Berlin,Germany,La Granada 96h,Colombia,Huila,Finca La Granada,"96h fermented, washed",Pink Bourbon,1620,1620,53.90,"Apricot, Marzipan, Sugar cane",espresso,88
19 grams,Berlin,Germany,Orang Utan,Sumatra,Gayo Highlands,Small farmers cooperative,Washed,"Tim Tim, Ateng",1500,1500,43.90,"Caramel, Apple, Dark chocolate",espresso,86.5
19 grams,Berlin,Germany,Don Martin Geisha Enano,Costa Rica,Tarrazù,La Chumeca,777 Fermantation,Geisha Enano,2000,2000,99.50,"Strawberry, Clementine, Honeysuckle",filter,91
19 grams,Berlin,Germany,Las Lajas,Costa Rica,"Poas, Central Valley",Las Lajas,Black Diamond Natural,SL28,1500,1500,134.50,"Passionfruit, Mango, Raspberry Jam",filter,91
19 grams,Berlin,Germany,Los Azacuanes,El Salvador,Ataco,Los Azacuanes,Double Fermentation Natural,Geisha,1350,1350,114.50,"Raspberry, Milk Chocolate, Macadamia",filter,88
19 grams,Berlin,Germany,Sonora Geisha,Costa Rica,Central Valley,Hacienda Sonora,Natural,Geisha,1300,1300,114.50,"Mango, Passionfruit, Honey",filter,89
19 grams,Berlin,Germany,Los Tres Potros,El Salvador,Apaneca-Llamatepec,Los Tres Potros,Natural,"Pacas, Maragogype",1500,1500,75.60,"Pineapple, Maple syrup, Melon",filter,89
19 grams,Berlin,Germany,Iyego AB,Kenya,"Murang'a District, Central Province",Marimira Factory,Washed,"SL28, SL34",1800,1800,71.60,"Pineapple, White Peach, Vanilla",filter,90
19 grams,Berlin,Germany,Yak Ikuk,Mexico,Oaxaca,Yak Ikuk,Washed,Typica,1620,1620,67.60,"Peach, Starfruit, Jasmine",filter,
19 grams,Berlin,Germany,Hacienda Sonora L9,Costa Rica,Central Valley,Hacienda Sonora,Natural,L9,1300,1300,63.60,"Caramell, Red Plum, Milk Chocolate",filter,87.5
80plus,Barcelona,Spain,Mogiana,Brazil,Mogiana,Various producers,Natural,"Acaia, Catuai",1400,1400,34,"Chocolate, almond, dried fruits",espresso,
80plus,Barcelona,Spain,Cuzuco,Costa Rica,Tarrazu,Cuzuco,Natural,Caturra,1700,1700,58,"Yellow mature fruit, Sweet lemon, Milk chocolate",espresso,
80plus,Barcelona,Spain,Candy,Costa Rica,Tarrazu,Cuzuco,Natural,Caturra,1800,1800,64,"Sweet apple, peach",espresso,
80plus,Barcelona,Spain,Nazareth’s Formula II,Brazil,Carmo de Minas,Fazenda Sertao,Natural,Yellow Borubon,1100,1450,36,"Milk chocolate, almonds",espresso,
80plus,Barcelona,Spain,Gold Mountain,Nicaragua,Jinotega & Matagalpa,Gold Mountain Coffee Growers,Washed,"Caturra, Catuai, Bourbon",1200,1600,50,"Hazelnut, raisin, cinnamon, black cherry",espresso,
80plus,Barcelona,Spain,Popayán,Colombia,Cauca,Cofinet,Washed,"Castillo, Caturra, Colombia, Typica, Catimor",1500,2070,44,"Milk chocolate, citrus, caramel",espresso,
80plus,Barcelona,Spain,Peach Microlot,Nicaragua,Jinotega,La Bendición,Washed,Red Catuai,1241,1241,64,"Peach,honey, apple",espresso,
80plus,Barcelona,Spain,Cuzuco,Costa Rica,Tarrazu,Cuzuco,Natural,Caturra,1700,1700,58,"Yellow mature fruit, Sweet lemon, Milk chocolate",filter,
80plus,Barcelona,Spain,Candy,Costa Rica,Tarrazu,Cuzuco,Natural,Caturra,1800,1800,64,"Sweet apple, peach",filter,
80plus,Barcelona,Spain,Popayán,Colombia,Cauca,Cofinet,Washed,"Castillo, Caturra, Colombia, Typica, Catimor",1500,2070,44,"Milk chocolate, citrus, caramel",filter,
80plus,Barcelona,Spain,Peach Microlot,Nicaragua,Jinotega,La Bendición,Washed,Red Catuai,1241,1241,64,"Peach,honey, apple",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Fazenda Ouro Verde,Brazil,Cerrado Mineiro,,Natural,2SL,925,925,42,Classic Chocolate and Milk,filter,82
Al-Gharb Coffee Roasters,Albufeira,Portugal,Fazenda Ouro Verde,Brazil,Cerrado Mineiro,,Natural,2SL,925,925,42,Classic Chocolate and Milk,espresso,82
Al-Gharb Coffee Roasters,Albufeira,Portugal,Finca Libertad,Costa Rica,"Trinidad de Moravia, Valle Central",,Washed,"Etiopes, San Roque",1000,1000,70,"Chocolate, Praline, Vanilla",filter,90
Al-Gharb Coffee Roasters,Albufeira,Portugal,Yirgacheffe,Ethiopia,Kochere,,Washed,Heirloom,1900,2000,60,"White flower, jazmin, citrus",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Fábrica de Café Kegwa,Kenya,Kirinyaga,,Washed,"Ruiru 11, SL28, SL 34, Batian",1500,1500,62,"White flower, litchi, caramel, vanilla, berry",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Finca San Francisco Cotzal,Guatemala,Quiche,,Fully Washed,"Bourbon, Castillo, Catuai, Lempira, Marsellesa",1400,1400,54,"Chocolate, Dried Fruit",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Finca San Francisco Cotzal,Guatemala,Quiche,,Fully Washed,"Bourbon, Castillo, Catuai, Lempira, Marsellesa",1400,1400,54,"Chocolate, Dried Fruit",espresso,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Lamari,Papua New Guinea,Eastern Highlans,,Washed,"Arusha , Blue Mountain, Bourbon, Typica",1700,2000,54,"Apple, Brown Spice, Brown Sugar, Citrus fruit, Hazelnut",filter,
