Profile,Taste
almond,Nutty/Cocoa
apple,Fruity
apricot,Fruity
bakers chocolate,Nutty/Cocoa
bergamot,Fruity
berry,Fruity
black cherry,Fruity
black currant jam,Fruity
black tea,Floral
blackberry,Fruity
blackberry jam,Fruity
blackcurrant,Fruity
blood orange,Fruity
blueberry,Fruity
brioche,Sweet
brown spice,Spices
brown sugar,Sweet
butterscotch,Sweet
candied orange,Fruity
candy floss,Sweet
cane sugar,Sweet
caramel,Sweet
champagne,Sour/Fermented
cherry,Fruity
cherry blossom,Fruity
chocolate,Nutty/Cocoa
chocolate cake,Nutty/Cocoa
cinnamon,Spices
citrus fruit,Fruity
clementine,Fruity
cloves,Spices
cocoa,Nutty/Cocoa
cookie,Nutty/Cocoa
cranberry,Fruity
dark chocolate,Nutty/Cocoa
dates,Fruity
dried fruit,Fruity
dried mango,Fruity
dried strawberries,Fruity
earl grey tea,Floral
elderflower,Floral
fig,Fruity
flower,Floral
forest fruit,Fruity
fruit,Fruity
gingerbread,Sweet
gooseberry,Fruity
grapefruit,Fruity
hazelnut,Nutty/Cocoa
herbs,Floral
honey,Sweet
honeysuckle,Floral
jasmine,Floral
kiwi,Fruity
lemon,Fruity
lemon marmelade,Fruity
light citrus,Fruity
lime,Fruity
litchi,Fruity
macadamia nut,Nutty/Cocoa
mandarin,Fruity
mango,Fruity
maple syrup,Sweet
maraschino cherry,Fruity
marzipan,Nutty/Cocoa
melon,Fruity
milk chocolate,Nutty/Cocoa
molasses,Sweet
mulled wine,Sour/Fermented
nectarine,Fruity
nougat,Nutty/Cocoa
nut cream,Nutty/Cocoa
nutmeg,Spices
nuts,Nutty/Cocoa
orange,Fruity
orange blossom,Floral
passion fruit,Fruity
pastry,Sweet
peach,Fruity
peach ice tea,Floral
pear,Fruity
pecan,Nutty/Cocoa
pineapple,Fruity
plum,Fruity
praline,Nutty/Cocoa
prune,Fruity
raisin,Fruity
raisins,Fruity
raspberry,Fruity
raspberry jam,Fruity
red apple,Fruity
red berry,Fruity
red currant,Fruity
red plum,Fruity
red wine,Sour/Fermented
roasted almonds,Nutty/Cocoa
rose,Floral
rum,Sour/Fermented
shortbread cookies,Sweet
starfruit,Fruity
stone fruit,Fruity
strawberry,Fruity
sugarcane,Sweet
sweet apple,Fruity
sweet lemon,Fruity
tea,Floral
toffee,Sweet
tropical fruit,Fruity
vanilla,Floral
white flower,Floral
white peach,Fruity
yellow fruit,Fruity
yellow peach,Fruity
