2sl 2
74110 2
74158 2
74212 1
74219 1
acaia 1
acaiá 1
arara 1
arusha  2
ateng 1
batian 3
blue mountain 2
bourbon 16
bourbon aji 1
bronze tip pacamara 1
castillo 11
catimor 4
cattura 2
catuai 6
catuaì 1
catuaí 2
caturra 14
colombia 5
daga 1
dega 1
etiopes 1
geisha 5
geisha enano 1
gibirinna 74110 1
green tip pacamara 1
h1 2
heirloom 5
heirlooms ’74-219 & ’74-212 1
jaadi 1
java 1
krume 74122 2
krume 74142 2
l9 2
lempira 4
maragogype 1
marsellesa 4
mundo maya 1
mundo novo 4
mundo novo, red catuaí 1
orange bourbon 1
pacamara 4
pacas 1
pache 2
pink bourbon 1
red bourbon 5
red catuai 4
ruiru 11 4
san roque 1
serto 74112 1
sl 34 1
sl28 12
sl34 10
tim tim 1
topazio 1
typica 8
villa sarchi 2
wolisho 1
yellow borubon 1
yellow bourbon 1
yellow catuai 2
yellow catuaí 1
