Variety,Country
2sl,Brazil
2sl,Brazil
"acaia, catuai",Brazil
"acaia, yellow catuai, mundo novo, red catuai, arara",Brazil
"arusha , blue mountain, bourbon, typica","Papua New Guinea"
"arusha , blue mountain, bourbon, typica","Papua New Guinea"
bourbon,"El Salvador"
bourbon,Peru
bourbon,Peru
bourbon,"El Salvador"
bourbon,Rwanda
"bourbon aji",Colombia
"bourbon, castillo, catuai, lempira, marsellesa",Burundi
"bourbon, castillo, catuai, lempira, marsellesa",Guatemala
"bourbon, castillo, catuai, lempira, marsellesa",Burundi
"bourbon, castillo, catuai, lempira, marsellesa",Guatemala
"bourbon, catuai",Honduras
"bourbon, typica",Mexico
"bourbon, typica",Mexico
castillo,Colombia
"castillo, caturra, colombia, typica, catimor",Colombia
"castillo, caturra, colombia, typica, catimor",Colombia
"castillo, colombia",Colombia
catimor,"El Salvador"
catimor,"El Salvador"
"cattura, colombia, castillo",Colombia
"cattura, colombia, castillo",Colombia
catuai,"Costa Rica"
"catuai, caturra, villa sarchi","Costa Rica"
caturra,"Costa Rica"
caturra,Nicaragua
caturra,"Costa Rica"
caturra,Peru
caturra,"Costa Rica"
caturra,"Costa Rica"
"caturra, bourbon, pacamara",Guatemala
"caturra, castillo",Colombia
"caturra, catuai, bourbon",Nicaragua
"caturra, pache",Peru
"caturra, pache",Peru
geisha,Guatemala
geisha,"Costa Rica"
geisha,"Costa Rica"
geisha,"El Salvador"
geisha,"Costa Rica"
geisha,Colombia
"gibirinna 74110, heirloom",Ethiopia
h1,"Costa Rica"
h1,"Costa Rica"
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
heirloom,Ethiopia
"heirloom, heirloom",Ethiopia
"heirloom, heirloom",Ethiopia
"heirloom, heirloom",Ethiopia
"heirloom, heirloom, heirloom",Ethiopia
"heirloom, san roque","Costa Rica"
jaadi,Yemen
java,Nicaragua
l9,"Costa Rica"
l9,"Costa Rica"
"mundo maya","Costa Rica"
"mundo novo",Brazil
"mundo novo",Brazil
"mundo novo",Brazil
"mundo novo",Brazil
"orange bourbon","El Salvador"
pacamara,Guatemala
pacamara,Colombia
pacamara,Colombia
pacarama,"El Salvador"
pacarama,"El Salvador"
"pacas, maragogype","El Salvador"
"pink bourbon",Colombia
"red bourbon","El Salvador"
"red bourbon",Rwanda
"red bourbon",Rwanda
"red bourbon",Rwanda
"red bourbon",Rwanda
"red catuai",Brazil
"red catuai","Costa Rica"
"red catuai",Nicaragua
"red catuai",Nicaragua
"ruiru 11, sl28, sl34",Kenya
"ruiru 11, sl28, sl34, batian",Kenya
sl28,"Costa Rica"
"sl28, sl34",Kenya
"sl28, sl34",Kenya
"sl28, sl34",Kenya
"sl28, sl34",Kenya
"sl28, sl34",Kenya
"sl28, sl34",Kenya
"sl28, sl34, batian",Kenya
"sl28, sl34, ruiru 11",Kenya
"sl34, batian, sl28, ruiru 11",Kenya
"tim tim, ateng",Sumatra
topazio,Brazil
typica,Mexico
typica,Mexico
"villa sarchi","Costa Rica"
"yellow bourbon",Brazil
"yellow bourbon",Brazil
"yellow catuai","Costa Rica"
"yellow catuai","Costa Rica"
